央视频道,#genre#
cctv1,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8	
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8	
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8	
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8	
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8	
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8	
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8	
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8	
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8	
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8	
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8	
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8	
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8	
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8	
CCTV3,http://123.6.9.146/live/jz-CCTV3/live.m3u8	
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8	
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8	
CCTV3,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8?	
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8	
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8	
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8	
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8	
CCTV4,http://117.148.129.68/PLTV/88888888/224/3221231615/index.m3u8	
CCTV4,http://112.17.40.220/PLTV/88888888/224/3221231654/index.m3u8?icpid=88888888&from=1&hms_devid=264	
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8	
CCTV5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8	
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225756/index.m3u8	
CCTV5,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8	
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8	
CCTV5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8 	
CCTV5+,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8	
CCTV5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8	
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8	
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8	
CCTV5+,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8	
CCTV6,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8	
CCTV6,http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8	
CCTV6,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8	
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8	
CCTV6,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878396	
CCTV6,http://117.148.129.8/PLTV/88888888/224/3221231724/index.m3u8?	
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8	
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8	
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225644/index.m3u8	
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8	
CCTV8,http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8	
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8	
CCTV8,http://111.20.33.93/TVOD/88888893/224/3221226391/index.m3u8?	
CCTV8,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8	
CCTV8,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878356	
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8	
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225626/index.m3u8	
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8	
CCTV9,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8	
CCTV9,http://123.6.9.146/live/jz-CCTV9/live.m3u8	
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8	
CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8	
CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225627/index.m3u8	
CCTV10,http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8	
CCTV10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8	
CCTV10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225496/index.m3u8?fmt=ts2hls	
CCTV10,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225569/2/index.m3u8?fmt=ts2hls	
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8	
CCTV11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8	
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8?	
